interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2024-02-15 16:10:00+00:00,2024-02-15 16:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,49.06,28.81,17.69,2.56
2024-02-15 18:25:00+00:00,2024-02-15 18:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,29.01,26.5,0.02,2.49
2024-02-15 20:40:00+00:00,2024-02-15 20:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,28.69,26.37,-0.0,2.32
2024-02-15 22:55:00+00:00,2024-02-15 23:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,33.23,30.54,-0.0,2.69
2024-02-16 01:10:00+00:00,2024-02-16 01:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,35.6,32.75,-0.0,2.85
2024-02-16 03:25:00+00:00,2024-02-16 03:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,36.57,20.1,14.8,1.67
2024-02-16 04:55:00+00:00,2024-02-16 05:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,24.99,23.47,-0.0,1.52
2024-02-16 07:10:00+00:00,2024-02-16 07:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,21.63,20.37,-0.0,1.26
2024-02-16 09:25:00+00:00,2024-02-16 09:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,26.33,24.7,-0.0,1.63
2024-02-16 11:40:00+00:00,2024-02-16 11:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,37.57,34.72,-0.0,2.85
2024-02-16 13:55:00+00:00,2024-02-16 14:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,34.63,31.74,-0.0,2.89
2024-02-16 16:10:00+00:00,2024-02-16 16:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,29.97,25.16,2.62,2.19
2024-02-16 18:25:00+00:00,2024-02-16 18:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,28.52,26.73,-0.0,1.79
2024-02-16 20:40:00+00:00,2024-02-16 20:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,25.83,23.83,-0.0,2.0
2024-02-16 22:55:00+00:00,2024-02-16 23:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,29.37,26.97,-0.0,2.4
2024-02-17 01:10:00+00:00,2024-02-17 01:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,37.75,35.02,-0.0,2.73
2024-02-17 03:25:00+00:00,2024-02-17 03:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,27.31,25.45,-0.0,1.86
2024-02-17 04:55:00+00:00,2024-02-17 05:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,22.48,21.07,-0.0,1.41
2024-02-17 07:10:00+00:00,2024-02-17 07:25:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,22.94,21.62,-0.0,1.32
2024-02-17 09:25:00+00:00,2024-02-17 09:40:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,23.42,22.01,-0.0,1.41
2024-02-17 11:40:00+00:00,2024-02-17 11:55:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,23.89,22.28,-0.0,1.61
2024-02-17 13:55:00+00:00,2024-02-17 14:10:00+00:00,REAL_TIME_15_MIN,N.Y.C.,Zone,34.55,31.85,-0.0,2.7
